date,numArticles
2020-01-06,1
2020-01-08,2
2020-01-09,2
2020-01-10,2
2020-01-11,1
2020-01-14,3
2020-01-15,2
2020-01-16,2
2020-01-17,4
2020-01-18,1
2020-01-19,3
2020-01-20,16
2020-01-21,44
2020-01-22,95
2020-01-23,97
2020-01-24,102
2020-01-25,23
2020-01-26,38
2020-01-27,114
2020-01-28,159
2020-01-29,154
2020-01-30,186
2020-01-31,200
2020-02-01,78
2020-02-02,48
2020-02-03,129
2020-02-04,170
2020-02-05,188
2020-02-06,166
2020-02-07,225
2020-02-08,62
2020-02-09,44
2020-02-10,160
2020-02-11,191
2020-02-12,200
2020-02-13,281
2020-02-14,228
2020-02-15,57
2020-02-16,61
2020-02-17,131
2020-02-18,190
2020-02-19,173
2020-02-20,174
2020-02-21,168
2020-02-22,45
2020-02-23,58
2020-02-24,267
2020-02-25,281
2020-02-26,369
2020-02-27,389
2020-02-28,383
2020-02-29,152
2020-03-01,157
2020-03-02,454
2020-03-03,515
2020-03-04,536
2020-03-05,550
2020-03-06,558
2020-03-07,172
2020-03-08,190
2020-03-09,672
2020-03-10,687
2020-03-11,820
2020-03-12,1215
2020-03-13,1289
2020-03-14,455
2020-03-15,454
2020-03-16,1293
2020-03-17,1392
2020-03-18,1488
2020-03-19,1623
2020-03-20,1290
2020-03-21,498
2020-03-22,525
2020-03-23,1338
2020-03-24,1483
2020-03-25,1556
2020-03-26,1589
2020-03-27,1740
2020-03-28,668
2020-03-29,602
2020-03-30,1387
2020-03-31,1488
2020-04-01,1367
2020-04-02,1396
2020-04-03,1285
2020-04-04,595
2020-04-05,574
2020-04-06,1046
2020-04-07,1091
2020-04-08,1047
2020-04-09,1000
2020-04-10,750
2020-04-11,486
2020-04-12,443
2020-04-13,694
2020-04-14,915
2020-04-15,969
2020-04-16,1028
2020-04-17,886
2020-04-18,503
2020-04-19,467
2020-04-20,769
2020-04-21,27
